Name,Rate,Food Type,Price Range,City,URL
Cake Dengo Cake Shop,3.8,Desserts,₹500 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/cake-dengo-cake-shop-gurukul-rod-drive-in-road-ahmedabad-270210
Chai Wai,4.1,"Beverages, Snacks, Pizzas",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/chai-wai-shivranjani-ambawadi-ahmedabad-37574
Punjab De Parathe,4.2,"Punjabi, North Indian, Rajasthani, Thalis, Gujarati",₹250 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/punjab-de-parathe-nr-drive-in-cinema-vastrapur-ahmedabad-309192
Baker's Den,4.2,Bakery,₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/bakers-den-panjra-pole-ahmedabad-ahmedabad-37111
Maharaja Thalis,3.6,"North Indian, Chinese, Punjabi, South Indian, Gujarati",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/maharaja-thalis-drive-in-road-vastrapur-ahmedabad-231123
Stuff Paratha,4.3,"North Indian, Chinese, Punjabi, Thalis, South Indian",₹250 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/stuff-paratha-opp-asia-school-vastrapur-ahmedabad-227095
La Tasty Sevusal,4.0,"Fast Food, Snacks",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/la-tasty-sevusal-vastrapur-ahmedabad-60762
Big Sandwich,--,"Snacks, Beverages",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/big-sandwich-vastrapur-ahmedabad-494244
Nothing Before Coffee,4.0,"Beverages, Fast Food",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/nothing-before-coffee-vastrapur-ahmedabad-542291
Shree Janta Ice Cream,3.4,"Continental, Beverages",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/shree-janta-ice-cream-nehurpark-vastrapur-ahmedabad-130241
Jugaadi Adda,4.2,Indian,₹300 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/jugaadi-adda-sudarshan-complex-satellite-ahmedabad-304754
R.K. Egg Eatery,4.0,"Indian, Mughlai, Snacks, North Indian",₹250 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/r-k-egg-eatery-himalaya-arcade-vastrapur-ahmedabad-36191
Stuff Paratha,4.3,"North Indian, Chinese, Punjabi, Thalis, South Indian",₹250 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/stuff-paratha-opp-asia-school-vastrapur-ahmedabad-227095
Jayhind Sweets,4.2,"Sweets, Desserts, Indian",₹300 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/jayhind-sweets-ambawadi-nehru-nagar-ahmedabad-ahmedabad-37815
The Belgian Waffle Co.,4.1,"Waffle, Desserts, Ice Cream, Beverages",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/the-belgian-waffle-co-panjra-pole-ambawadi-ahmedabad-36657
Fitfuel & Co,3.8,Indian,₹500 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/fitfuel-and-co-opp-sunrise-park-vastrapur-ahmedabad-260220
Cake Eggless,4.3,Desserts,₹600 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/cake-eggless-navrangpura-vastrapur-ahmedabad-224293
Chennai Express,3.9,South Indian,₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/chennai-express-near-dhananjay-tower-shyamal-ahmedabad-187356
Talod Insta Serve,3.9,"Snacks, North Indian, Gujarati",₹300 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/talod-insta-serve-vejapur-jodhpur-village-ahmedabad-346100
Gajanand Pauva House,4.1,"Street Food, Snacks",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/gajanand-pauva-house-himalaya-arcade-vastrapur-ahmedabad-121267
Fresh N Fresh,4.3,Bakery,₹250 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/fresh-n-fresh-fountain-nehru-park-vastrapur-ahmedabad-67617
The Goldsmith Cafe & Restro,--,"North Indian, Chinese, Fast Food",₹300 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/the-goldsmith-cafe-and-restro-york-tower-a-vastrapur-ahmedabad-653845
Burger King,4.0,"Burgers, American",₹350 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/burger-king-himalaya-mall-gurukul-memnagar-ahmedabad-37556
Cake Bonzer Bites,4.2,"Bakery, Desserts",₹400 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/cake-bonzer-bites-vidyanagar-vastrapur-ahmedabad-168666
Grill Villa,3.4,"Fast Food, Snacks, Pizzas",₹300 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/grill-villa-ambawadi-navrangpura-ahmedabad-528336
Masala Grill,--,"American, Pizzas, Fast Food, Beverages",₹250 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/masala-grill-sardar-center-vastrapur-ahmedabad-555373
SHREENATH FARALI CENTER,4.4,"Indian, Snacks",₹150 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/shreenath-farali-center-bodakdev-vastrapur-ahmedabad-586183
Mumbai Food Court,4.3,"Maharashtrian, Snacks, North Indian",₹150 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/mumbai-food-court-near-gala-safal-bopal-ahmedabad-383859
Shobha Foods,3.7,"North Indian, Indian",₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/shobha-foods-opp-sanjivni-hospital-vastrapur-ahmedabad-355905
Laxmi Ganthiya Rath (Nehrunagar),4.0,Indian,₹100 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/laxmi-ganthiya-rath-nehrunagar-near-nehrunagar-cross-road-ambawadi-ahmedabad-65325
Kathiyawadi moj,3.0,"Gujarati, Punjabi, North Indian",₹250 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/kathiyawadi-moj-op-lake-vastrapur-ahmedabad-518058
Jay Kalyan Poha Corner,4.3,Beverages,₹300 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/jay-kalyan-poha-corner-jodhpur-vastrapur-ahmedabad-414078
A1 Paratha,4.3,North Indian,₹200 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/a1-paratha-near-indraprasth-tower-memnagar-ahmedabad-217533
Tea Post,4.1,Fast Food,₹150 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/tea-post-opp-vastrapur-lake-ahmedabad-45635
Kathyawadi chatako,--,"Gujarati, North Indian, Thalis, Sweets, Punjabi",₹500 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/kathyawadi-chatako-vastrapur-ahmedabad-570833
Radhika'S Authentic South Indian Food,4.4,South Indian,₹300 FOR TWO,ahmedabad,https://www.swiggy.com/restaurants/radhikas-authentic-south-indian-food-near-time-square-ellisbridge-ahmedabad-196811
